wei2yi1|唯一
huan2jing4bao3hu4|环境保护
zhu1hai3|珠海
li3cai2|理财
yong4xin1|用心
yong4shui3|用水
yi2huo4|疑惑
shi4wei1zhe3|示威者
piao4fang2|票房
di4yi1jie4|第一届
deng3hou4|等候
li4zi5|粒子
jing1ji4ren2|经纪人
jie2meng2|结盟
wei2duo1li4ya4|维多利亚
chan2|缠
jiao3na4|缴纳
shua3|耍
hao4fei4|耗费
lian2wang3|联网
fu1se4|肤色
cha2ye4|茶叶
xing2xing1|行星
biao3zhang1|表彰
yao4si3|要死
she4zai4|设在
shuo1qi3|说起
guan4chuan1|贯穿
bu4jian4|部件
li3cheng2|里程
chang2an1|长安
wen4hou4|问候
e4si3|饿死
gao1shang4|高尚
xian1xue4|鲜血
ya1pian4|鸦片
wan4ge4|万个
shang4xian4|上限
xia4ban4nian2|下半年
xia4fang1|下方
bu4kan1|不堪
bu4fu2|不服
bu4nan2|不难
zhuan1xin1|专心
liang3hui4|两会
zhong1chan3jie1ji2|中产阶级
zhong1zhi3|中止
lin2jin4|临近
dan1ni2|丹尼
mai3xia4|买下
ru3fang2|乳房
zheng1zhi2|争执
qin1you3|亲友
qin1shou3|亲手
qin1shen1|亲身
ta1jia1|他家
qi3e2|企鹅
di1wen1|低温
bao3jia1li4ya4|保加利亚
nei4lu4|内陆
leng3mo4|冷漠
fen1xi1shi1|分析师
shua1xin1|刷新
shi4tou5|势头
mu4ji2|募集
gou1jie2|勾结
wu4|勿
li4lai2|历来
kou3zhao4|口罩
qi3|启
e4|呃
huan4xing3|唤醒
hui2zu2|回族
tian1zhen1|天真
xue2shi4|学士
xue2qi1|学期
zhai4|寨
cui1|崔
shi1fan4|师范
bing4gou4|并购
zhuang1yuan2|庄园
qiang2jing4|强劲
qiang2dao4|强盗
qiang2ying4|强硬
pang2fo2|彷佛
jing1qi2|惊奇
jie4|戒
shou3chi2|手持
tuo1yan2|拖延
yong1ji3|拥挤
zhi3hui1bu4|指挥部
hui1wu3|挥舞
pai2hang2|排行
jie1fa1|揭发
fang4ying4|放映
you3wang4|有望
wei4ceng2|未曾
ji1qiang1|机枪
sha1lu4|杀戮
shu4lin2|树林
guan1cai2|棺材
qi1zha4|欺诈
he2nei4|河内
zhi4guo2|治国
lei4shui3|泪水
liu2lang4|流浪
xiao1fei4pin3|消费品
run4|润
guan4gai4|灌溉
gan1|甘
dian4zi5shu1|电子书
bing4fang2|病房
meng2you3|盟友
pan4|盼
zhi1xiao3|知晓
kuang4ye4|矿业
jin4ji4|禁忌
kong1qian2|空前
jing1shen2bing4|精神病
fei4yan2|肺炎
liang2|良
ying1bang4|英镑
huo4xi1|获悉
dan4bai2|蛋白
zhen3suo3|诊所
ci2dian3|词典
shuo1hao3|说好
zan4shang3|赞赏
che1jian1|车间
qian1xi3|迁徙
guo4de2|过得
zhe4ben3|这本
lian2huan2|连环
chi2zao3|迟早
bian4bu4|遍布
qian3fan3|遣返
lin2guo2|邻国
xiao1hui3|销毁
yang2tai2|阳台
ling2jian4|零件
qing1lai4|青睐
feng1qing2|风情
fei1dan4|飞弹
can1yin3|餐饮
jia4shi3yuan2|驾驶员
luo4tuo2|骆驼
mo2nv3|魔女
mai4dang1lao2|麦当劳
gu3chui1|鼓吹
yi1pang2|一旁
xia4xun2|下旬
ye4jie4|业界
liang3mian4|两面
zhi1xin1|之心
shi4fa1|事发
jiao1zhan4|交战
you1mei3|优美
chuan2jiao4|传教
he2kuang4|何况
zhen1cha2|侦察
bao3hu4qu1|保护区
xin4tuo1|信托
dao4tui4|倒退
jie4yong4|借用
chu1yu4|出狱
chuang1shang1|创伤
jia1zhong4|加重
dong4ren2|动人
shi2wu3nian2|十五年
qian1li3|千里
zhan4yong4|占用
juan3ru4|卷入
xian4ji2|县级
shuang1xiang4|双向
fan3zhi1|反之
fan3gan3|反感
ke3wu4|可恶
ke3yi2|可疑
you4yi4|右翼
si1ling4bu4|司令部
hou4fang1|后方
hou4yi4|后裔
hou2long2|喉咙
guo2li4|国立
bi4hua4|壁画
da4mi3|大米
da4bu4fen4|大部份
ru2guo3shuo1|如果说
yao1jing1|妖精
an1zhuo2|安卓
wan2jie2|完结
zun1|尊
shao4fu4|少妇
feng1hui4|峰会
gan4long2|干隆
kai1duan1|开端
hong2yang2|弘扬
xian2|弦
de2bu2dao4|得不到
mang2lu4|忙碌
zong3tong3fu3|总统府
lian4ren2|恋人
hui4|惠
zhan4shi4|战事
zhan4dou4li4|战斗力
pi1|披
chou1xiang4|抽象
zhao1dai4|招待
tiao3xin4|挑衅
zhang3|掌
jie1wen3|接吻
di2dui4|敌对
jiao4yi4|教义
zheng3zhi4|整治
wen2dang4|文档
wu2chi3|无耻
wu2neng2wei2li4|无能为力
wu2fei1|无非
yi4yu2|易于
xing1qi1er4|星期二
jin4|晋
shu3jia4|暑假
zui4gao1fa3yuan4|最高法院
ben3zhan4|本站
jie2ke4|杰克
ji2li4|极力
biao1shi2|标识
dang4ci4|档次
meng4huan4|梦幻
jian3tao3|检讨
min2yong4|民用
fan4lan4|泛滥
huo2po1|活泼
man4hua4jia1|漫画家
qian2shui3|潜水
dian3er2|点儿
lie4shi4|烈士
tang4|烫
shu2lian4|熟练
yu4zhong1|狱中
bai3he2|百合
zhuo2xiang3|着想
man2|瞒
she4hui4xue2|社会学
zu3mu3|祖母
di4yi1pi1|第一批
di4yi1bu4|第一步
zhu4|筑
guan3jia1|管家
yue4|粤
zong4ran2|纵然
xian4xia4|线下
bian1cheng2|编程
wang3qiu2|网球
chi4bang3|翅膀
lao3wai4|老外
kao3liang2|考量
sheng4guo4|胜过
zi4wei4|自卫
fan4bing1bing1|范冰冰
la4xia4|落下
pi4ru2|譬如
ji4shu4|记述
gai1shi4|该市
ying2jia1|赢家
he4|赫
lu4guo4|路过
shen1ying3|身影
xin1|辛
ye3xin1|野心
yu4liao4|预料
feng1yu3|风雨
sao1luan4|骚乱
gao1ke1ji4|高科技
yi4kou3qi4|一口气
yi1piao4|一票
yi1lian3|一脸
yi1zhen4zi5|一阵子
liang3zhang1|两张
sang4sheng1|丧生
zhi1di4|之地
zheng1chao3|争吵
zheng1duan1|争端
er4hao4|二号
ren2|仁
you1yi4|优异
di1gu1|低估
qin1shi2|侵蚀
dao4shu3|倒数
quan2mei3|全美
guan1qie4|关切
guan1jian4ci2|关键词
liu2shao3qi2|刘少奇
yong3yu2|勇于
hua2dong1|华东
hua2er3jie1|华尔街
xie2|协
can1yu4zhe3|参与者
fan3gong4|反共
fa1jiao4|发酵
kou3qi4|口气
ke3le4|可乐
jun1zi3|君子
bei5|呗
zhou1san1|周三
zhe2|哲
zui3chun2|嘴唇
wei2qiang2|围墙
wei2gong1|围攻
guo2jun1|国军
po1|坡
da4tui3|大腿
tai4ping2|太平
shi1luo4|失落
tou2xian2|头衔
qi4ji1|契机
shi3jian4|始建
zi5gong1si1|子公司
cun2fang4|存放
zuo3shou3|左手
yi3zhi1|已知
mu4|幕
gan1han4|干旱
you4nv3|幼女
di3bu4|底部
dian4pu4|店铺
jian4zhu4shi1|建筑师
yin3lai2|引来
zhong1|忠
xing4jiao1|性交
zong3you3|总有
kong3bu4fen4zi5|恐怖分子
zha1shi2|扎实
zhi2dao3|执导
dan1fu4|担负
quan2|拳
na2po4lun2|拿破仑
juan1|捐
zhang3sheng1|掌声
rou2|揉
shou1suo1|收缩
jin1|斤
xing1qi1si4|星期四
you3de5shi4|有的是
ji1dian4|机电
ji1neng2|机能
yang4shi4|样式
li2|梨
si3shang1|死伤
shui3zhi4|水质
nong2|浓
yong3|涌
shen1chu4|深处
te4zhi4|特质
huan2rao4|环绕
ting1|町
liu2xia4lai2|留下来
dao4ban3|盗版
xiang4pian1|相片
qi2qiu2|祈求
piao4jia4|票价
ji4si4|祭祀
fu2te4|福特
fu2yin1|福音
chou2|筹
mi3er3|米尔
ji4wei3|纪委
na4shui4ren2|纳税人
niu3|纽
shen1shi4|绅士
jie2jing1|结晶
ba4mian3|罢免
mei3fang1|美方
hu2zi5|胡子
hu2shuo1ba1dao4|胡说八道
cang1|舱
yi4shu4pin3|艺术品
rong2|荣
chun3|蠢
chen4shan1|衬衫
jie3mi4|解密
jing3wei4|警卫
ding4gou4|订购
xun4|训
yi4zhang3|议长
gai1dang3|该党
qi3bu4|起步
liao2|辽
tao2wang2|逃亡
e4zhi4|遏制
you2bao4|邮报
chong2qing4shi4|重庆市
zhang3zi3|长子
chang2pian1|长篇
min3|闽
long2|隆
diao1ke4|雕刻
jing4|静
yu4bao4|预报
fei1chuan2|飞船
shou3fa1|首发
lv2|驴
yi1mu2yi1yang4|一模一样
xia4luo4|下落
bu4xiao3|不小
zhong1ri4|中日
zhu3ren2gong1|主人公
jing1du1|京都
yi3zhi4yu2|以至于
hui4tong2|会同
dan4yuan4|但愿
di1ji2|低级
bao3quan2|保全
bang4wan3|傍晚
xian1qu1|先驱
ke4lin2dun4|克林顿
quan2neng2|全能
gong1li4|公立
gong1zhi2|公职
jian1ren4|兼任
fen1hang2|分行
li4bi3ya4|利比亚
yi1xue2yuan4|医学院
li4shi2|历时
yuan2xing2|原型
fa4xing2|发型
fa1yang2|发扬
fa1xian4zi4ji3|发现自己
qu3jue2|取决
qu3zi4|取自
kou3tou2|口头
tai2ci2|台词
he2li4|合力
ha1fu2|哈佛
he1cha2|喝茶
qiu2jin4|囚禁
guo2ji4hua4|国际化
yuan2xing2|圆形
zai4zhi2|在职
di4chu3|地处
di4pan2|地盘
di4tie3zhan4|地铁站
zhui4hui3|坠毁
wai4jiao1bu4zhang3|外交部长
duo1zhong4|多重
ye4li3|夜里
da4ju2|大局
da4shen2|大神
tian1huang2|天皇
tou2tong4|头痛
kua1|夸
zou4|奏
shi2ming2|实名
shi2ming2zhi4|实名制
shi2lu4|实录
rong2xu3|容许
fu4hao2|富豪
jiu4du2|就读
jin4qing2|尽情
ju1yu2|居于
yi3hun1|已婚
yi3cheng2|已成
kai1fa1zhe3|开发者
ruo4shi4|弱势
ying3yuan4|影院
xu4|恤
gan3ying4|感应
suo3zhi4|所致
da3ya1|打压
kuo4|扩
rao3luan4|扰乱
tou2chan3|投产
ai1|挨
ti2zao3|提早
da1jian4|搭建
da1dang4|搭档
xie2|携
si1tan3|斯坦
xin1gao1|新高
xing1qi1tian1|星期天
xian3shi4qi4|显示器
gan1|杆
qiang1sha1|枪杀
cha2chu3|查处
jian3suo3|检索
fa3shi1|法师
luo4ke4|洛克
hun4xiao2|混淆
tian1|添
qing1shui3|清水
lou4|漏
zhao4ming2|照明
wu4li3xue2|物理学
ma3li4ya4|玛利亚
sheng1ri4kuai4le4|生日快乐
nan2shi4|男士
yi2|疑
xiang1ai4|相爱
xiang1deng3|相等
kan4cheng2|看成
du1cha2|督察
duan3duan3|短短
que4zhen3|确诊
yi2jiao1|移交
shui4lv4|税率
li4an4|立案
li4fa3yuan4|立法院
di4ba1|第八
jing1zhun3|精准
ji4nian4ri4|纪念日
xi4zhi4|细致
hui4zhi4|绘制
bian1yi4|编译
suo1|缩
zhi4yu2|置于
lao3wo1|老挝
lao3ba4|老爸
ye2lu4sa1leng3|耶路撒冷
chen2|臣
pu2tao2jiu3|葡萄酒
zang4zu2|藏族
sui1shuo1|虽说
bu3ji3|补给
biao3shu4|表述
ding4li4|订立
gai1si3|该死
fu4zhai4|负债
huo4yun4|货运
tan1fu3|贪腐
yue4shi4|越是
lun2liu2|轮流
ci2|辞
yun4suan4|运算
yuan3fang1|远方
zhui1zhu2|追逐
bi1jin4|逼近
na4tiao2|那条
jin1shan1|金山
zhen4xian4|阵线
zu3li4|阻力
a1er3|阿尔
xian4e2|限额
tao2ci2|陶瓷
ding3jian1|顶尖
rao2|饶
ma3de2li3|马德里
gao1xiong2|高雄
mo2shu4|魔术
li2ba1nen4|黎巴嫩
hei1ke4|黑客
gu3|鼓
yi1quan1|一圈
yi4dian3er2|一点儿
yi1ye4|一页
san1fen1zhi1yi1|三分之一
san1qian1|三千
san1tiao2|三条
shang4bao4|上报
shang4fang1|上方
bu4he2li3|不合理
bu4rong2|不容
zhi1yi4|之意
hu1|乎
le4yi4|乐意
yi4ke3|亦可
chan3neng2|产能
xiang3yong4|享用
ting2|亭
zhu4su4|住宿
zhu4suo3|住所
ti3yu4guan3|体育馆
fo2shan1|佛山
qin1zhan4|侵占
bao3you4|保佑
ke4li3|克里
gong1guan1|公关
xie3gei3|写给
bing1qi2lin2|冰淇淋
jue2zhan4|决战
fen1qu1|分区
fen1ju2|分局
fen1gong1|分工
chuang4xia4|创下
gong1xiao4|功效
lao2dong4zhe3|劳动者
ban4xiao3shi2|半小时
hua2wen2|华文
mai4diao4|卖掉
cha1|叉
you3shan4|友善
fan3xiang3|反响
fan3she4|反射
ji2long2po1|吉隆坡
lv3|吕
you1|呦
zhou1si4|周四
guo2an1|国安
zeng1da4|增大
xia4wei1yi2|夏威夷
da4jie3|大姐
da4tu2sha1|大屠杀
nai4|奈
tuo3shan4|妥善
ni1|妮
gu1gu1|姑姑
zi3sun1|子孙
shou3wei4|守卫
ding4xiang4|定向
ding4zui4|定罪
yi2|宜
hai4xiu1|害羞
kuan1song1|宽松
cha2jue2|察觉
xiao3yu2|小于
jiu4xing2le5|就行了
ni2ri4li4ya4|尼日利亚
ping2|屏
shan1zhai4|山寨
shan1ding3|山顶
gong1di4|工地
qiao3he2|巧合
di4guo2zhu3yi4|帝国主义
gan4huo2|干活
you1ling2|幽灵
guang3zhou1shi4|广州市
zhang1kai1|张开
ying3zhan3|影展
tu2xing2|徒刑
de2yi4|得意
you1yu4|忧郁
zong3gong1si1|总公司
qiao1qiao1|悄悄
cheng2qian1shang4wan4|成千上万
bian3|扁
shou3dong4|手动
zhi2zheng4dang3|执政党
kuo4chong1|扩充
jue2ze2|抉择
tai2tou2|抬头
zhi1bu4|支部
shou1yang3|收养
gong1shi4|攻势
shu4qian1|数千
shu4e2|数额
xin1hua2|新华
ri4ye4|日夜
wan3qi1|晚期
pu3tong1ren2|普通人
you3dai4|有待
ji1xie4hua4|机械化
guo3shi2|果实
cha2li3|查理
he2zhun3|核准
zhuo1shang4|桌上
jian3|检
ying1hua1|樱花
du2yao4|毒药
shui3dian4|水电
tang1mu3|汤姆
bo1te4|波特
zhang3fu2|涨幅
tao2bao3|淘宝
qing1suan4|清算
hua2xue3|滑雪
can4lan4|灿烂
re4xian4|热线
pian1zi5|片子
kuang2huan1|狂欢
wan2nong4|玩弄
sheng1zhi2|生殖
yong4zuo4|用作
huang2gong1|皇宫
xiang1cha4|相差
xiang1jin4|相近
zhen1you3|真有
po4lie4|破裂
shen2xian1|神仙
zhan4dian3|站点
zhang1cheng2|章程
jun4gong1|竣工
ben4|笨
xi4shu4|系数
zi3|紫
ji4cheng2ren2|继承人
wei2quan2|维权
suo1xie3|缩写
lao3jia1|老家
chuan2yuan2|船员
ying1chao1|英超
luo4ru4|落入
xi1bei3bu4|西北部
jie3pou1|解剖
jing3ju2|警局
ren4de5|认得
zheng4ci2|证词
ping2ji2|评级
lu4tou4she4|路透社
zhuan3er2|转而
qing1wei1|轻微
mai4jin4|迈进
shu4|述
tui4yi4|退役
dao4jiao4|道教
zu3nao2|阻挠
nan2mian3|难免
nan2kan4|难看
dun4shi2|顿时
jing3|颈
e2du4|额度
shi2tang2|食堂
yan4shou1|验收
hei1bang1|黑帮
yi1shi4|一世
yi1zheng3tian1|一整天
shang4chang3|上场
bu4xia4|不下
yu3fou3|与否
dong1han4|东汉
zhong1dui4|中队
nai3shi4|乃是
zhi1zi5|之子
ya4mei3ni2ya4|亚美尼亚
jiao1she4|交涉
ren2ma3|人马
pu2ren2|仆人
chou2|仇
fen4zi5|份子
chuan2shou4|传授
bao3guan3|保管
xiu1zheng4an4|修正案
dao3ta1|倒塌
jia4ri4|假日
zuo4sheng1yi4|做生意
zuo4guo4|做过
gong1ran2|公然
bing1qi4|兵器
jun1min2|军民
jun1yong4|军用
nong2zuo4wu4|农作物
feng2|冯
jue2ding4xing4|决定性
zhun3shi2|准时
kai3|凯
qie1ge1|切割
chuang4shi3|创始
ci4sha1|刺杀
ju4tuan2|剧团
ban4an4|办案
hua4he2wu4|化合物
dan1ge4|单个
nan2mei3|南美
shuang1bian1|双边
bian4yi4|变异
gu3guai4|古怪
he2jin1|合金
qi3shi4|启示
hei1|嘿
si4wei4|四位
chu3si3|处死
bei4wang4lu4|备忘录
duo1xie4|多谢
qi2te4|奇特
cun2huo2|存活
xue2ye4|学业
shi2zhan4|实战
shi2wu4|实物
xuan1shi4|宣誓
ni2si1|尼斯
ping2bi4|屏蔽
ju4tou2|巨头
fei4zhi3|废止
fei4hua4|废话
jian4yu2|建于
yi4xing4|异性
wan1|弯
de2zui4|得罪
xin1tiao4|心跳
huai2bao4|怀抱
zong3zhi2|总值
zong3he2|总和
xi1|息
da3fa1|打发
fu3yang3|抚养
jie1shou3|接手
jie1zhu4|接著
cha1tu2|插图
shan4zi4|擅自
shou1ting1|收听
fang4jia4|放假
shu4ci4|数次
shi1ya1|施压
ri4qu1|日趋
shi2shi4|时事
shi2zhuang1|时装
geng4gao1|更高
you3he2|有何
you3shi3yi3lai2|有史以来
mo4ri4|末日
ji1shang4|机上
ji1zu3|机组
gang4gan3|杠杆
cha2er3si1|查尔斯
yang4pin3|样品
gai4shu4|概述
zheng4zhi2|正直
bi3fen1|比分
yang3qi4|氧气
shui3shang4|水上
jiang1xi1sheng3|江西省
chi2|池
zhao3ze2|沼泽
zhang3jia4|涨价
qing1xin1|清新
you2lan3|游览
ji1huo2|激活
dian3ping2|点评
te4yi4|特意
cai1xiang3|猜想
wang2zhe3|王者
dao4qie4|盗窃
shi2jia1zhuang1|石家庄
kuang4wu4|矿物
zhuan1|砖
si1ying2|私营
zhang1jie2|章节
ce4|策
pian1wen2zhang1|篇文章
fen3hong2se4|粉红色
zhi2chang3|职场
zi4dai4|自带
cao3mei2|草莓
ying2jiu4|营救
ma3yi3|蚂蚁
yuan2|袁
bei4hai4ren2|被害人
xi2|袭
xi1ce4|西侧
jue2zhu2|角逐
chu4ji2|触及
jing3ti4|警惕
jiang3shi1|讲师
hua4ju4|话剧
shuo1lai2|说来
qi3shen1|起身
qu1xiang4|趋向
ta4shang4|踏上
zhuan3ru4|转入
zai4ti3|载体
shu1song4|输送
guo4sheng4|过剩
guo4cuo4|过错
mai4a1mi4|迈阿密
jin4chu1kou3|进出口
zhui1su4|追溯
ni4|逆
zhong4xin1|重心
zhang3de2|长得
yu3shui3|雨水
fei1dei3|非得
mian4dui4mian4|面对面
shun4zhe5|顺着
jia4|驾
gao1dang4|高档
gao1gui4|高贵
lu4|鹿
wan4neng2|万能
shang4shi4gong1si1|上市公司
bu4tong1|不通
bu4kao4|不靠
diu1diao4|丢掉
yan2jin4|严禁
zhong1yang1jun1wei3|中央军委
er4shou3|二手
er4zhe3|二者
wu3qian1|五千
ren2min2wang3|人民网
ren2cheng1|人称
jie4|介
yi3bei3|以北
qi3|企
zhong4suo3zhou1zhi1|众所周知
kuai4ji4shi1|会计师
di1diao4|低调
zuo4bi4|作弊
pei4fu2|佩服
xiu1xing2|修行
tang3ruo4|倘若
hou4|候
zuo4ren2|做人
sha3zi5|傻子
er2nv3|儿女
dang3zu3zhi1|党组织
quan2fang1wei4|全方位
gong4chan3dang3yuan2|共产党员
xie3xin4|写信
nong2li4|农历
bing1dao3|冰岛
ye3jin1|冶金
chuang4zao4xing4|创造性
jia1shen1|加深
zhan4di4|占地
wei4dui4|卫队
fa1shi4|发誓
qu3di4|取缔
kou3yin1|口音
you4ce4|右侧
ting1cong2|听从
xi1du2|吸毒
hu1sheng1|呼声
hong3|哄
li1|哩
miao1|喵
fu4chou2|复仇
wai4xing2|外形
wai4yuan2|外援
ye4ye4|夜夜
da4jun1|大军
da4li3|大理
fu4|妇
jiang1|姜
xue2jie4|学界
an1ning2|安宁
an1hui1sheng3|安徽省
guan1chang3|官场
shi2li4|实例
shi2di4|实地
shi2hua4|实话
yan4hui4|宴会
xiao3gu1niang2|小姑娘
jian1|尖
jian1jiao4|尖叫
yi3ran2|已然
tie1|帖
chang2you3|常有
kai1mu4shi4|开幕式
kai1hua1|开花
si1suo3|思索
zong3ji4|总计
nin2hao3|您好
suo3yong4|所用
shou3tao4|手套
cai2hua2|才华
zhi3zhe5|指着
shou4ke4|授课
tan4xian3|探险
jie1jian4|接见
kong4su4|控诉
yao2|摇
gong1zhan4|攻占
san4bu4|散步
wen2hua4bu4|文化部
wu2ming2|无名
ri4ben3zheng4fu3|日本政府
you3qi1tu2xing2|有期徒刑
fu2wu4yuan2|服务员
ben3an4|本案
cun1zi5|村子
lai2xin4|来信
zhu4|柱
ge2li3|格里
heng2|横
yan2yong4|沿用
jin1|津
she4|涉
re4xue4|热血
ao2|熬
ai4de2hua2|爱德华
qian1|牵
hu2li2|狐狸
xia2zhai3|狭窄
wan2yi4er2|玩意儿
li3ying1|理应
yong4yu3|用语
zhen1kong1|真空
zhao2ji2|着急
zhu3mu4|瞩目
yi3|矣
yan2tao3|研讨
mo2|磨
jin4qu1|禁区
zhong3zu2qi2shi4|种族歧视
wen3gu4|稳固
jing1mei3|精美
jue2da4bu4fen4|绝大部分
que1shi1|缺失
zhao4|罩
xiu1chi3|羞耻
tai1er2|胎儿
jiao3xia4|脚下
xi1gai4|膝盖
zi4zhi4|自制
yan4|艳
lei3|蕾
jing3jie4|警戒
ji4liang4|计量
tao3fa2|讨伐
ping2lun4jia1|评论家
qing3jiao4|请教
hao2|豪
gui4xia4|跪下
zong1|踪
che1piao4|车票
mai4ke4er3|迈克尔
yun4he2|运河
jin4xiu1|进修
chi2chi2|迟迟
song4wang3|送往
song4lai2|送来
ni4zhuan3|逆转
tong1xun4she4|通讯社
yi2liu2|遗留
ye3wai4|野外
jin1zi4ta3|金字塔
zhen4shang4|镇上
yuan4zi5|院子
zhen4|震
gu4lv4|顾虑
ban1jiang3|颁奖
ji1huang1|饥荒
jia4che1|驾车
sao1huo4|骚货
jing1|鲸
yi1shuang1|一双
yi2mu4|一幕
yi2ci4xing4|一次性
yi1lian2chuan4|一连串
shang4tian1|上天
xia4zhou1|下周
bu4jia1|不佳
bu4xiang2|不详
bu4qi3|不起
bu4zu2yi3|不足以
liang3bei4|两倍
zhong1xiao3xue2|中小学
zhu3zai3|主宰
ju3li4|举例
zhi1ye4|之夜
shi4tai4|事态
liang4dian3|亮点
xian1|仙
yi2biao3|仪表
ti3cao1|体操
qin1|侵
cui1|催
gong1tou2|公投
chu1tu3|出土
chu1ju2|出局
chu1fang3|出访
li4wu4pu3|利物浦
li4zheng1|力争
gong1ke4|功课
jia1lei1bi3|加勒比
jia1you2zhan4|加油站
qu1nei4|区内
shi2zi4jia4|十字架
nan2lu4|南路
li4nian2|历年
yan4juan4|厌倦
fan3dao4|反倒
kou3an4|口岸
gu3ji4|古迹
tong2ming2|同名
ting1hua4|听话
ke2sou4|咳嗽
pin3wei4|品味
guo2min2zheng4fu3|国民政府
guo2min2jing1ji4|国民经济
chu3yi3|处以
wai4ren2|外人
tian1wen2|天文
ben1pao3|奔跑
hao3ting1|好听
ke4che1|客车
gong1ting2|宫廷
fu4ren2|富人
gua3fu4|寡妇
dui4jue2|对决
jiu4ren4|就任
jin3zao3|尽早
xun2fu3|巡抚
qiao3miao4|巧妙
ju4xing2|巨型
shi4nei4|市内
di4wang2|帝王
ping2fang1|平方
huan4jue2|幻觉
di3xian4|底线
fei4xu1|废墟
de2jiang3|得奖
wei1sheng1wu4|微生物
ji2xu1|急需
xuan2ya2|悬崖
can3an4|惨案
fang2zu1|房租
da3zhao1hu1|打招呼
tou2fang4|投放
ya1|押
la1la1|拉拉
pin1yin1|拼音
jie1zhong3|接种
da1zai4|搭载
mo2luo4ge1|摩洛哥
zheng4wei3|政委
zheng4fu3bu4men2|政府部门
jiao4cheng2|教程
wen2zhong1|文中
wen2ping2|文凭
si1luo4fa2ke4|斯洛伐克
si1li3lan2ka3|斯里兰卡
lv3tu2|旅途
wu2bu4|无不
zhao1yang2|朝阳
mo4qi1|末期
si3hou4|死后
he2gu3|河谷
yan2xian4|沿线
dong4xue2|洞穴
hai3li3|海里
shen1ceng2|深层
yan1mo4|淹没
liu1|溜
lu2|炉
yan1tai2|烟台
ba4ma1|爸妈
wu4li3xue2jia1|物理学家
rui4|瑞
gua1|瓜
dian4lan3|电缆
dian4shi4ji1|电视机
hua4zuo4|画作
huang2|皇
kan4zuo4|看作
zhen1shi4tai4|真是太
zhuo2li4|着力
shi2hua4|石化
ci2chang3|磁场
she4lun4|社论
jian3jie2|简洁
jin3suo1|紧缩
sheng2|绳
wei2er3|维尔
feng4|缝
zi4wei4dui4|自卫队
hua1yang4|花样
huo4zhun3|获准
mo2gu1|蘑菇
xian2jie1|衔接
jie1qu1|街区
bei4kong4|被控
xi1yang2|西洋
jian4guo4|见过
shi4yan2|誓言
jiang3jie3|讲解
diao4yong4|调用
ze2ren4gan3|责任感
lu4yi4si1|路易斯
lu4mian4|路面
shen1chuan1|身穿
che1dui4|车队
shu1gei3|输给
guo4duo1|过多
wei2ji4|违纪
guang4|逛
wen4da2|问答
fang2xian4|防线
zhen4|阵
jiang4jia4|降价
yin3huan4|隐患
mian4shang4|面上
yin1xiang3|音响
yu4jian4|预见
ma3lai2|马来
qi2ma3|骑马
yi1hui2|一回
yi1pai4|一派
san1jia1|三家
bu4zhi1bu4jue2|不知不觉
dong1nan2bu4|东南部
wu3bai3|五百
ya4dang1|亚当
ren2you3|人有
fu2|伏
chuan2gan3qi4|传感器
zhu4chu4|住处
ti3jian3|体检
shi3zhe3|使者
gong1shui3|供水
ju4|俱
pian1pian1|偏偏
ru4shou3|入手
guan1ya1|关押
zhun3xu3|准许
ji1luo4|击落
dao4chang3|到场
fu4zuo4yong4|副作用
wu4bi4|务必
bei3shang4|北上
pi3|匹
sheng1qi3|升起
can1zhan4|参战
fa1xie4|发泄
xu4|叙
tai2jie1|台阶
ge4chu4|各处
hou4tui4|后退
ha1fu2da4xue2|哈佛大学
tang2dai4|唐代
shang1mao4|商贸
hui2xiang3|回想
xia4ri4|夏日
duo1fang1|多方
da4fu2du4|大幅度
kua1da4|夸大
nu2li4zhi4|奴隶制
guan1si1|官司
shen3shi4|审视
xuan1pan4|宣判
xuan1zhan4|宣战
xiao3chou3|小丑
xiao3nan2hai2|小男孩
chang2|尝
you2wei4|尤为
shi1|尸
an4|岸
wang3shi4|往事
zheng1ji2|征集
de2lai2|得来
xi1ni2|悉尼
huan4you3|患有
qing2shi4|情势
gan3en1|感恩
cheng2ban4|承办
zhe1teng5|折腾
di3|抵
la1si1|拉斯
sun3|损
zhi1dui4|支队
shou1mai3|收买
fang4kuan1|放宽
di2jun1|敌军
jiao4yang3|教养
shu4xue2jia1|数学家
wen2mang2|文盲
wu2xu1|无须
zao3nian2|早年
ming2zhi1|明知
xing1xi4|星系
xian3er2yi4jian4|显而易见
pu3jing1|普京
jing3se4|景色
an4zhong1|暗中
zui4shen1|最深
you3ru2|有如
you3guo4|有过
lai2hui2|来回
zhen3tou5|枕头
lin2biao1|林彪
ran3|染
ke1|柯
liu3|柳
ci3zhong3|此种
si3yin1|死因
si3shen2|死神
min2hang2|民航
yang3hua4|氧化
qiu2zhi2|求职
han4zi5|汉子
shen3|沈
fa3lan2xi1|法兰西
ce4ding4|测定
du4|渡
ji1nu4|激怒
qian1yin3|牵引
yu2|瑜
shen1|申
jie4xian4|界限
xiang1shi2|相识
zhuo2zhong4|着重
qiao2qiao2|瞧瞧
yan2|研
po4sui4|破碎
li2bu4kai1|离不开
li2zhi2|离职
qiu1ji4|秋季
shao1hou4|稍后
wen3ding4xing4|稳定性
li4zu2|立足
zi3se4|紫色
hong2li4|红利
jing1ji4xiao4yi4|经济效益
